"Index","spread","long_wti","long_brent","neither","brent","wti","b.spread","w.spread","position_wti","position_brent","cash","trade_made","brentcf","wticf","brent_paid","wti_paid","wti_value","brent_value","portfolio_value","wti_delta","brent_delta","portfolio_returns","log_portfolio_returns","simplemod_portfolio_returns","netcash"
2017-08-02,-1.77117991716332,1,0,0,47.06,44.75,0.0200000000000031,0.0999999999999943,4000,-3493.04279974248,91896.9171555868,1,4108.69159319708,-4480,47.06,44.75,179000,-164382.594155881,106514.322999706,185,-771.962458743103,-0.0089164207458088,-0.00895640990954229,-0.00891642074580878,-371.308406802919
2017-08-02,-1.36833664924316,1,0,0,45.82,44.07,0.0200000000000031,0.0999999999999943,4100,-3580.36886973604,91485.3244219918,1,4000.40726640506,-4412,45.82,44.07,180687,-164052.501611305,108119.822810687,1687,330.092544575687,0.0150730884426237,0.0149606182191319,0.0150730884426236,-411.592733594936
2017-08-02,-1.77526038417555,1,0,0,46.87,44.58,0.0200000000000031,0.100000000000001,4200,-3667.6949397296,91114.4240618901,1,4092.0996398983,-4463,46.87,44.58,187236,-171904.861825126,106445.562236764,6549,-7852.36021382106,-0.0154852323135446,-0.0156063808260676,-0.0154852323135446,-370.900360101696
2017-08-02,-1.5581338460043,1,0,0,49.53,47.12,0.0200000000000031,0.100000000000001,4300,-3755.02100972316,90721.8110479713,1,4324.38698608118,-4717,49.53,47.12,202616,-185986.190611588,107351.620436383,15380,-14081.3287864619,0.00851193962979863,0.00847591734036193,0.00851193962979857,-392.613013918822
2017-08-02,-0.674023185083486,1,0,0,48.3,46.93,0.0200000000000031,0.0999999999999943,4400,-3842.34707971672,90240.7869679604,1,4216.9759199891,-4698,48.3,46.93,206492,-185585.363950318,111147.423017643,3876,400.826661270461,0.0353585960400939,0.0347478363145546,0.0353585960400939,-481.024080010903
2017-08-02,-1.60159734917878,1,0,0,46.82,44.71,0.019999999999996,0.100000000000001,4500,-3929.67314971028,89852.520304359,1,4087.73333639863,-4476,46.82,44.71,201195,-183987.296869435,107060.223434924,-5297,1598.0670808822,-0.0367727786371655,-0.0374659434452455,-0.0367727786371655,-388.266663601374
2017-08-02,-0.348938516126625,1,0,0,47.63,46.67,0.0200000000000031,0.100000000000001,4600,-4016.99921970385,89338.9877574524,1,4158.46745309341,-4672,47.63,46.67,214682,-191329.672834494,112691.314922958,13487,-7342.37596505869,0.0525974195398311,0.0512608424238308,0.0525974195398311,-513.532546906588
2017-08-02,-0.971195014117614,1,0,0,47.77,46.17,0.019999999999996,0.100000000000001,4700,-4104.32528969741,88887.680860345,1,4170.69310289253,-4622,47.77,46.17,216999,-196063.619088845,109823.0617715,2317,-4733.94625435103,-0.0254522999702274,-0.0257818130233413,-0.0254522999702275,-451.306897107468
2017-08-02,-1.64187563718907,1,0,0,46.66,44.53,0.019999999999996,0.100000000000001,4800,-4191.65135969097,88503.4420255446,1,4073.76116519966,-4458,46.66,44.53,213744,-195582.452443181,106664.989582364,-3255,481.166645664576,-0.0287560020472432,-0.0291775570333957,-0.0287560020472433,-384.238834800344
2017-08-02,-1.65977338015753,1,0,0,47.15,44.94,0.0200000000000031,0.100000000000001,4900,-4278.97742968453,88120.9929650411,1,4116.5509394965,-4499,47.15,44.94,220206,-201753.785809626,106573.207155415,6462,-6171.33336644503,-0.000860473781583751,-0.000860844201654528,-0.000860473781583715,-382.449060503499
